"-77.0345978524","-12.0827552722","TGA","Troncal","ANTES CRUCE JR. MANUEL CANDAMO"
"-77.0349813214","-12.0800756613","TGA","Troncal","ANTES CRUCE JR. MANUEL SEGURA"
"-77.0354520143","-12.0770029753","TGA","Troncal","ANTES CRUCE CALLE ENRIQUE VILLAR"
"-77.0356197388","-12.0759072802","TGA","Troncal","ANTES CRUCE CALLE MARIANO CARRANZA"
"-77.0382314358","-12.054640043","TGA","Troncal","ANTES CRUCE AV. URUGUAY"
"-77.0386055391","-12.0513897732","TGA","Troncal","ANTES CRUCE JR. QUILCA"
"-77.0383153163","-12.0477497822","TGA","Troncal","ANTES CRUCE JR. MOQUEGUA"
"-77.0363237261","-12.044857909","TGA","Troncal","ANTES CRUCE JR. ICA"
"-77.0356037065","-12.0438189484","TGA","Troncal","ANTES CRUCE JR. CALLAO"
"-77.0295511437","-12.0409175445","TGA","Troncal","ANTES CRUCE JR. CASMA"
"-77.0389895377","-12.0483864392","TGA","Troncal","ANTES CRUCE AV. NICOLÁS DE PIÉROLA"
"-77.03872","-12.051832","TGA","Troncal","ANTES CRUCE JR. ILO"
"-77.0385794602","-12.0529850781","TGA","Troncal","ANTES CRUCE JR. VILLARÁN"
"-77.0383635281","-12.0554868487","TGA","Troncal","ANTES CRUCE AV. BOLIVIA"
"-77.0378814522","-12.0618036148","TGA","Troncal","ANTES CRUCE JR. HUANCAYO"
"-77.0377275065","-12.0631470716","TGA","Troncal","ANTES CRUCE JR. YAUYOS"
"-77.0373778886","-12.0656140938","TGA","Troncal","DESPUÉS CRUCE AV. 28 DE JULIO"
"-77.0356197388","-12.0759072802","TGA","Troncal","ANTES CRUCE CALLE MARIANO CARRANZA"
"-77.0359107762","-12.073861369","TGA","Troncal","ANTES CRUCE JR. EMILIO FERNÁNDEZ"
"-77.0362879786","-12.0714531121","TGA","Troncal","ANTES CRUCE JR. RAMÓN DAGNINO"
"-77.0366883915","-12.0687277962","TGA","Troncal","ANTES CRUCE JR. SACO OLIVEROS"
"-77.0371284785","-12.0659511833","TGA","Troncal","ANTES CRUCE JR. HERNÁN VELARDE"
"-77.0376479043","-12.0616254084","TGA","Troncal","ANTES CRUCE JR. TARMA"
"-77.0377176392","-12.0605432952","TGA","Troncal","ANTES CRUCE AV. 9 DE DICIEMBRE"
"-77.0382314358","-12.054640043","TGA","Troncal","ANTES CRUCE AV. URUGUAY"
"-77.0384206466","-12.0523271354","TGA","Troncal","ANTES CRUCE JR. ILO"
"-77.0386055391","-12.0513897732","TGA","Troncal","ANTES CRUCE JR. QUILCA"
"-77.036155187","-12.0739195455","TGA","Troncal","ANTES CRUCE AV. CUBA"
"-77.0357759146","-12.0764386202","TGA","Troncal","ANTES CRUCE CALLE ENRIQUE VILLAR"
"-77.036155187","-12.0739195455","TGA","Troncal","ANTES CRUCE AV. CUBA"
"-77.0353504513","-12.0793653164","TGA","Troncal","ANTES CRUCE JR. MANUEL SEGURA"
"-77.0349019596","-12.0821450417","TGA","Troncal","ANTES CRUCE JR. MANUEL CANDAMO"
"-77.0344825948","-12.0851684685","TGA","Troncal","ANTES CRUCE JR. RISSO"
"-77.0342964307","-12.0861699027","TGA","Troncal","ANTES CRUCE JR. TOMAS GUIDO"
"-77.0336813633","-12.0904015301","TGA","Troncal","ANTES CRUCE JR. SOLEDAD"
"-77.0331570732","-12.0942690875","TGA","Troncal","ANTES CRUCE CALLE MANUEL BALLÓN"
"-77.0328468024","-12.0965389147","TGA","Troncal","ANTES CRUCE AV. PAZ SOLDÁN"
"-77.0325068283","-12.0985415252","TGA","Troncal","ANTES CRUCE AV. CHOQUEHUANCA"
"-77.0318108751","-12.1027099398","TGA","Troncal","ANTES CRUCE CALLE RAYMUNDO MORALES DE LA TORRE"
"-77.031183542","-12.1064255607","TGA","Troncal","ANTES CRUCE CALLE LOS ANGELES"
"-77.0308393308","-12.1085658264","TGA","Troncal","ANTES CRUCE CALLE ANDALUCÍA"
"-77.0303006089","-12.1113236761","TGA","Troncal","ANTES CRUCE CALLE AYACUCHO"
"-77.0299817235","-12.1134286626","TGA","Troncal","ANTES CRUCE AV. ANGAMOS OESTE"
"-77.0295943467","-12.1157335975","TGA","Troncal","ANTES CRUCE CALLE PIURA"
"-77.0291488894","-12.1187177517","TGA","Troncal","ANTES CRUCE AV. JOSÉ PARDO"
"-77.031085954","-12.1220860856","TGA","Troncal","ANTES CRUCE CALLE BERLÍN"
"-77.0329875741","-12.1252172843","TGA","Troncal","ANTES CRUCE AV. 28 DE JULIO"
"-77.0297906705","-12.1268649339","TGA","Troncal","ANTES CRUCE AV. JOSÉ LARCO"
"-77.0299375975","-12.1309854547","TGA","Troncal","ANTES CRUCE AV. ARMENDARIZ"
"-77.0270595481","-12.1337901545","TGA","Troncal","ANTES CRUCE CALLE SAN IGNACIO DE LOYOLA"
"-77.0254289755","-12.1351290634","TGA","Troncal","ANTES CRUCE MALECÓN ARMENDARIZ"
"-77.0329608093","-12.0940085618","TGA","Troncal","ANTES CRUCE CALLE OLAVIDE"
"-77.0335296634","-12.090107153","TGA","Troncal","ANTES CRUCE JR. DOMINGO CASANOVA"
"-77.0339401362","-12.0873375456","TGA","Troncal","ANTES CRUCE JR. TOMÁS GUIDO"
"-77.0345978524","-12.0827552722","TGA","Troncal","ANTES CRUCE JR. MANUEL CANDAMO"
"-77.0349813214","-12.0800756613","TGA","Troncal","ANTES CRUCE JR. MANUEL SEGURA"
"-77.035301493","-12.0780900722","TGA","Troncal","ANTES CRUCE CALLE TEODORO CARDENAS"
"-77.0354520143","-12.0770029753","TGA","Troncal","ANTES CRUCE CALLE ENRIQUE VILLAR"
"-77.0359107762","-12.073861369","TGA","Troncal","ANTES CRUCE JR. EMILIO FERNÁNDEZ"
"-77.0362879786","-12.0714531121","TGA","Troncal","ANTES CRUCE JR. RAMÓN DAGNINO"
"-77.0366883915","-12.0687277962","TGA","Troncal","ANTES CRUCE JR. SACO OLIVEROS"
"-77.0371284785","-12.0659511833","TGA","Troncal","ANTES CRUCE JR. HERNÁN VELARDE"
"-77.0377176392","-12.0605432952","TGA","Troncal","ANTES CRUCE AV. 9 DE DICIEMBRE"
"-77.0380965275","-12.0564817334","TGA","Troncal","ANTES CRUCE AV. BOLIVIA"
"-77.0384206466","-12.0523271354","TGA","Troncal","ANTES CRUCE JR. ILO"
"-77.0386055391","-12.0513897732","TGA","Troncal","ANTES CRUCE JR. QUILCA"
"-77.0376453134","-12.046801272","TGA","Troncal","ANTES CRUCE AV. EMANCIPACIÓN"
"-77.0356037065","-12.0438189484","TGA","Troncal","ANTES CRUCE JR. CALLAO"
"-77.0324217132","-12.0392125488","TGA","Troncal","ANTES CRUCE JR. CAJAMARCA"
"-77.0309690194","-12.0370167507","TGA","Troncal","ANTES CRUCE JR. CHIRA"
"-77.0298983402","-12.0352854678","TGA","Troncal","ANTES CRUCE AV. GUARDIA REPUBLICANA"
"-77.0280505458","-12.0325022923","TGA","Troncal","ANTES CRUCE AV. ALCAZAR"
"-77.030998389","-12.0289471107","TGA","Troncal","ANTES CRUCE CALLE CALEZAS"
"-77.0326852546","-12.0274411182","TGA","Troncal","ANTES CRUCE CALLE 14"
"-77.0337583081","-12.0264773315","TGA","Troncal","ANTES CRUCE AV. AMANCAES"
"-77.0359107762","-12.073861369","TGA","Troncal","ANTES CRUCE JR. EMILIO FERNÁNDEZ"
"-77.0362879786","-12.0714531121","TGA","Troncal","ANTES CRUCE JR. RAMÓN DAGNINO"
"-77.0366883915","-12.0687277962","TGA","Troncal","ANTES CRUCE JR. SACO OLIVEROS"
"-77.0371284785","-12.0659511833","TGA","Troncal","ANTES CRUCE JR. HERNÁN VELARDE"
"-77.0376479043","-12.0616254084","TGA","Troncal","ANTES CRUCE JR. TARMA"
"-77.0380965275","-12.0564817334","TGA","Troncal","ANTES CRUCE AV. BOLIVIA"
"-77.0328993192","-12.0394965292","TGA","Troncal","ANTES CRUCE AV. PROCERES (VIRÚ)"
"-77.0367700988","-12.04515021","TGA","Troncal","ANTES CRUCE JR. HUANCAVELICA"
"-77.0389916947","-12.0483643328","TGA","Troncal","ANTES CRUCE AV. NICOLÁS DE PIÉROLA"
"-77.0385794602","-12.0529850781","TGA","Troncal","ANTES CRUCE JR. VILLARÁN"
"-77.0383635281","-12.0554868487","TGA","Troncal","ANTES CRUCE AV. BOLIVIA"
"-77.0382145986","-12.0573557013","TGA","Troncal","ANTES CRUCE AV. ESPAÑA"
"-77.0378814522","-12.0618036148","TGA","Troncal","ANTES CRUCE JR. HUANCAYO"
"-77.0373778886","-12.0656140938","TGA","Troncal","DESPUÉS CRUCE AV. 28 DE JULIO"
"-77.0370944046","-12.0676132618","TGA","Troncal","ANTES CRUCE JR. SACO OLIVEROS"
"-77.0366030449","-12.0708235636","TGA","Troncal","ANTES CRUCE JR. RAMÓN DAGNINO"
